Node  d0  d1  d2  Opcode  In  Out  Bottleneck
0  0  0  0  0  5  5  0
1  0  0  1  0  12  9  1
2  0  0  2  0  10  9  0
3  0  0  3  0  8  6  0
4  0  0  4  0  11  11  1
5  0  1  0  0  15  15  1
6  0  1  1  0  11  11  1
7  0  1  2  0  6  5  0
8  0  1  3  0  9  9  0
9  0  1  4  0  10  10  0
10  0  2  0  0  9  9  0
11  0  2  1  0  13  15  1
12  0  2  2  0  6  6  0
13  0  2  3  0  16  15  1
14  0  2  4  0  11  9  1
15  0  3  0  0  8  8  0
16  0  3  1  0  8  5  0
17  0  3  2  0  8  11  1
18  0  3  3  0  9  9  0
19  0  3  4  0  14  10  1
20  0  4  0  0  9  10  0
21  0  4  1  0  15  16  1
22  0  4  2  0  11  10  1
23  0  4  3  0  10  9  0
24  0  4  4  0  8  7  0
25  1  0  0  1  15  15  1
26  1  0  1  1  16  19  1
27  1  0  2  1  2  3  0
28  1  0  3  1  6  6  0
29  1  0  4  1  6  7  0
30  1  1  0  1  14  12  1
31  1  1  1  1  10  10  0
32  1  1  2  1  10  9  0
33  1  1  3  1  7  8  0
34  1  1  4  1  14  12  1
35  1  2  0  1  7  5  0
36  1  2  1  1  6  7  0
37  1  2  2  1  10  11  1
38  1  2  3  1  7  6  0
39  1  2  4  1  7  7  0
40  1  3  0  1  13  14  1
41  1  3  1  1  8  8  0
42  1  3  2  1  14  13  1
43  1  3  3  1  12  14  1
44  1  3  4  1  10  10  0
45  1  4  0  1  9  9  0
46  1  4  1  1  8  8  0
47  1  4  2  1  16  15  1
48  1  4  3  1  11  9  1
49  1  4  4  1  12  10  1
50  2  0  0  2  6  8  0
51  2  0  1  2  10  10  0
52  2  0  2  2  5  4  0
53  2  0  3  2  6  6  0
54  2  0  4  2  13  17  1
55  2  1  0  2  8  9  0
56  2  1  1  2  7  8  0
57  2  1  2  2  13  13  1
58  2  1  3  2  8  7  0
59  2  1  4  2  10  8  0
60  2  2  0  2  17  18  1
61  2  2  1  2  7  8  0
62  2  2  2  2  13  11  1
63  2  2  3  2  14  12  1
64  2  2  4  2  13  17  1
65  2  3  0  2  9  10  0
66  2  3  1  2  17  11  1
67  2  3  2  2  10  10  0
68  2  3  3  2  12  12  1
69  2  3  4  2  8  9  0
70  2  4  0  2  8  8  0
71  2  4  1  2  6  8  0
72  2  4  2  2  8  9  0
73  2  4  3  2  9  10  0
74  2  4  4  2  9  9  0
75  3  0  0  3  10  10  0
76  3  0  1  3  6  8  0
77  3  0  2  3  8  10  0
78  3  0  3  3  9  10  0
79  3  0  4  3  10  12  1
80  3  1  0  3  11  13  1
81  3  1  1  3  10  11  1
82  3  1  2  3  7  7  0
