"Msg","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24"
"0","200","231","10","143","222","23","300","104","44","221","132","240","231","222","112","24","311","13","30","303","2","104","23","144","1"
"1","310","312","130","223","311","41","34","0","130","201","230","101","24","41","240","142","134","143","132","34","143","23","142","34","144"
"2","242","111","10","44","3","133","214","232","113","144","131","220","41","101","110","10","100","40","241","21","244","211","4","244","34"
"3","241","4","201","131","133","310","242","204","223","304","311","30","31","134","111","110","22","113","212","103","23","224","133","143",
"4","310","231","10","143","222","23","300","104","44","221","132","240","231","222","112","24","311","13","30","303","2","104","23","144","1"
"5","104","21","110","202","311","41","34","0","100","101","204","40","24","41","240","142","134","143","132","34","143","23","142","34","144"
"6","134","101","214","302","224","133","304","103","242","224","1","110","243","43","232","11","113","100","224","311","233","141","32","121","23"
"7","32","41","233","23","14","141","232","212","114","222","312","30","20","243","222","2","21","230","242","122","134","20","133","233","222"
"8","14","114","33",,,,,,,,,,,,,,,,,,,,,,
"9","121","231","10","143","222","23","300","104","44","221","132","240","231","222","112","24","311","13","30","303","2","104","23","144","1"
"10","234","301","202","14","143","231","310","42","224","212","130","144","303","3","31","211","34","142","130","310","11","23","224","104","144"
"11","224","223","11","144","111","23","31","20","140","44","101","302","20","220","311","221","114","204","240","41","30","4","231","302","132"
"12","122","110","42","0","21","131","242","212","40","43","212","230","131","43","33","242","132","10","3","101","303","13","10","204","140"
"13","302","100","224","221","31","134","204","201","40","223","100","21","101","140","203","220","123","114",,,,,,,
"14","301","231","10","144","300","204","234","141","112","1","132","220","101","143","200","310","112","44","210","221","142","22","41","22","144"
"15","204","114","100","121","30","211","210","40","14","13","222","23","312","14","134","104","220","203","312","132","310","10","133","241","3"
"16","310","302","142","303","114","100","222","33","20","144","222","224","202","311","21","231","222","23","142","32","202","240","101","43","112"
"17","111","224","43","120","112","200","11","1","100","13","122","142","133","101","301","230","233","310","32","12","140","223","24","203","223"
"18","220","31",,,,,,,,,,,,,,,,,,,,,,,
"19","223","231","10","144","300","204","2","220","104","130","303","142","220","300","232","241","220","2","230","12","142","24","140","244","214"
"20","131","310","23","220","23","311","42","120","200","130","124","2","214","143","111","301","2","310","300","1","211","232","21","41","13"
"21","130","230","140","300","210","124","220","132","23","3","42","212","2","11","213","14","240","1","213","211","223","233","100","304","12"
"22","40","34","224","2","231","243","110","241","31","22","110","230","122","40","23","42","223","33","141","224","214","131","311","312","42"
"23","303","121","142","32","4","11","32","10","121","304","223","1","224","234","30","133","4","213","211","111","24","224","213","33","134"
"24","303","234","1","0","141","40","241","243","100","120","13","44",,,,,,,,,,,,,
"25","114","231","10","144","300","204","43","244","21","23","103","101","34","143","232","212","122","220","114","103","244","20","32","112","21"
"26","33","34","133","34","311","132","4","222","14","141","144","112","201","301","213","4","133","142","32","232","304","41","112","134","31"
"27","110","122","101","103","131","233","212","114","201","20","234","240","13","11","141","133","33","124","142","133","30","23","113","110","120"
"28","222","122","0","122","10","123","210","122","23","130","100","14","41","21","224","10","304","132","233","21","241","21","143","3","232"
"29","221","130","42","24","120","200","221","124","21","2","231","144","201","203","32","243","121","300","244","204","44","110","204","240",
"30","102","231","10","144","300","204","2","220","104","130","2","210","14","30","214","33","233","3","121","10","142","302","134","123","1"
"31","33","103","301","4","114","220","223","213","310","32","204","304","300","143","204","210","34","222","224","24","142","201","240","300","10"
"32","21","142","140","213","233","234","304","100","123","140","243","142","233","200","114","140","303","101","304","212","4","211","42","220","33"
"33","300","133","220","214","232","223","132","144","113","130","230","304","302","12","3","101","222","111","303","101","212","234","130","4","43"
"34","101","23","232","132","123","242","21","124","230","220","100","11","310","231","233","302","214","303","34",,,,,,
"35","302","231","10","144","300","204","2","220","104","130","2","210","14","30","214","33","233","3","121","10","142","220","41","310","1"
"36","242","210","31","312","120","212","34","1","231","33","102","124","32","244","311","124","24","303","0","100","230","133","231","224","123"
"37","311","43","44","200","212","110","241","300","101","233","204","212","211","200","241","243","24","41","13","112","101","223","10","122","34"
"38","133","231","142","203","114","231","43","243","111","204","123","302","232","21","223","304","11","42","41","201","234","244","41","10","32"
"39","232","122","104","41","220","24","312","134","110","4","40","132","120","1","111","204","141","40","130","110",,,,,
"40","113","231","10","144","300","204","2","220","104","130","2","210","14","30","214","33","233","3","121","10","142","113","41","214","134"
"41","33","103","301","214","114","220","223","304","102","22","204","10","144","143","204","210","202","222","242","234","20","212","42","213","143"
"42","232","203","12","114","112","110","111","34","101","13","114","141","12","110","241","210","114","300","204","14","11","220","10","43","100"
"43","140","132","310","100","22","42","301","40","201","222","41","130","14","131","20","134","243","13","113","240","243","11","111","41","242"
"44","10","130","221","201","132","231","224","244","221","100","223","132","44","131",,,,,,,,,,,
