pos2 → pos3 Transformation Analysis
Generated: 05/31/2026 13:15:26

=== pos2 Msg 2  →  pos3 Msg 3 ===
Index | pos2 | pos3 | Δ(abs) | Δ(mod5) | Δ(mod25) | Δ(mod125)
--------------------------------------------------------------
    0 |  242 |  241 |     -1 |     -1 |      -1 |       -1
    1 |  111 |    4 |   -107 |     -2 |      -7 |     -107
    2 |   10 |  201 |    191 |      1 |      16 |       66
    3 |   44 |  131 |     87 |      2 |      12 |       87
    4 |    3 |  133 |    130 |      0 |       5 |        5
    5 |  133 |  310 |    177 |      2 |       2 |       52
    6 |  214 |  242 |     28 |      3 |       3 |       28
    7 |  232 |  204 |    -28 |     -3 |      -3 |      -28
    8 |  113 |  223 |    110 |      0 |      10 |      110
    9 |  144 |  304 |    160 |      0 |      10 |       35
   10 |  131 |  311 |    180 |      0 |       5 |       55
   11 |  220 |   30 |   -190 |      0 |     -15 |      -65
   12 |   41 |   31 |    -10 |      0 |     -10 |      -10
   13 |  101 |  134 |     33 |      3 |       8 |       33
   14 |  110 |  111 |      1 |      1 |       1 |        1
   15 |   10 |  110 |    100 |      0 |       0 |      100
   16 |  100 |   22 |    -78 |     -3 |      -3 |      -78
   17 |   40 |  113 |     73 |      3 |      23 |       73
   18 |  241 |  212 |    -29 |     -4 |      -4 |      -29
   19 |   21 |  103 |     82 |      2 |       7 |       82
   20 |  244 |   23 |   -221 |     -1 |     -21 |      -96
   21 |  211 |  224 |     13 |      3 |      13 |       13
   22 |    4 |  133 |    129 |      4 |       4 |        4
   23 |  244 |  143 |   -101 |     -1 |      -1 |     -101

=== pos2 Msg 6  →  pos3 Msg 7 ===
Index | pos2 | pos3 | Δ(abs) | Δ(mod5) | Δ(mod25) | Δ(mod125)
--------------------------------------------------------------
    0 |  134 |   32 |   -102 |     -2 |      -2 |     -102
    1 |  101 |   41 |    -60 |      0 |     -10 |      -60
    2 |  214 |  233 |     19 |      4 |      19 |       19
    3 |  302 |   23 |   -279 |     -4 |      -4 |      -29
    4 |  224 |   14 |   -210 |      0 |     -10 |      -85
    5 |  133 |  141 |      8 |      3 |       8 |        8
    6 |  304 |  232 |    -72 |     -2 |     -22 |      -72
    7 |  103 |  212 |    109 |      4 |       9 |      109
    8 |  242 |  114 |   -128 |     -3 |      -3 |       -3
    9 |  224 |  222 |     -2 |     -2 |      -2 |       -2
   10 |    1 |  312 |    311 |      1 |      11 |       61
   11 |  110 |   30 |    -80 |      0 |      -5 |      -80
   12 |  243 |   20 |   -223 |     -3 |     -23 |      -98
   13 |   43 |  243 |    200 |      0 |       0 |       75
   14 |  232 |  222 |    -10 |      0 |     -10 |      -10
   15 |   11 |    2 |     -9 |     -4 |      -9 |       -9
   16 |  113 |   21 |    -92 |     -2 |     -17 |      -92
   17 |  100 |  230 |    130 |      0 |       5 |        5
   18 |  224 |  242 |     18 |      3 |      18 |       18
   19 |  311 |  122 |   -189 |     -4 |     -14 |      -64
   20 |  233 |  134 |    -99 |     -4 |     -24 |      -99
   21 |  141 |   20 |   -121 |     -1 |     -21 |     -121
   22 |   32 |  133 |    101 |      1 |       1 |      101
   23 |  121 |  233 |    112 |      2 |      12 |      112
   24 |   23 |  222 |    199 |      4 |      24 |       74

=== pos2 Msg 11  →  pos3 Msg 12 ===
Index | pos2 | pos3 | Δ(abs) | Δ(mod5) | Δ(mod25) | Δ(mod125)
--------------------------------------------------------------
    0 |  224 |  122 |   -102 |     -2 |      -2 |     -102
    1 |  223 |  110 |   -113 |     -3 |     -13 |     -113
    2 |   11 |   42 |     31 |      1 |       6 |       31
    3 |  144 |    0 |   -144 |     -4 |     -19 |      -19
    4 |  111 |   21 |    -90 |      0 |     -15 |      -90
    5 |   23 |  131 |    108 |      3 |       8 |      108
    6 |   31 |  242 |    211 |      1 |      11 |       86
    7 |   20 |  212 |    192 |      2 |      17 |       67
    8 |  140 |   40 |   -100 |      0 |       0 |     -100
